views,likes,ratio
9181717,270249,0.029433383756001193
10059071,737520,0.0733188979379905
1525348,91509,0.059992211613349875
32412482,771028,0.023787996241694788
2145537,69627,0.032452015509403936
893052,7127,0.007980498336043142
2460643,158937,0.0645916534824434
14808964,1157101,0.07813517542483053
1183502,129982,0.10982828926355849
7202270,391593,0.054370774769621245
1546671,155283,0.10039821009122173
1321786,36842,0.027872893191484855
10525522,226209,0.02149147567218044
19648374,3975590,0.2023368447689361
914039,140329,0.15352627185492085
10293498,773398,0.07513461410299978
1270681,274538,0.2160558000001574
1388338,279849,0.20157123121314838
302715,29615,0.09783129346084601
28386422,2117883,0.07460901553566701
755046,54802,0.0725810083094275
368386,42094,0.11426601445223217
2101370,189202,0.09003745175766285
4181413,368703,0.08817665224650136
9022657,230252,0.0255193121050706
3616597,146202,0.04042529482825982
3295411,126067,0.03825531929097767
5850191,499356,0.08535721312346896
566921,56618,0.09986929395806471
18583061,1298082,0.06985296986325343
937971,42694,0.04551739872554695
12066893,1065365,0.0882882611124504
5515504,263775,0.04782427861533597
1161605,101114,0.0870468016236156
1478689,154324,0.10436542099116176
3112183,160425,0.05154741864472623
272657,14547,0.053352747224534855
2028094,100766,0.049685073768770086
3639757,172622,0.0474267925029061
526662,20344,0.03862819037637042
167226,3037,0.01816105151112865
1408621,74426,0.05283607159058398
1791989,101250,0.05650146289960485
5068210,540609,0.10666665351277867
565369,38712,0.06847209521569099
968322,151716,0.15667928643571044
569183,65208,0.11456420869913543
310435,34866,0.11231336672733422
